arm	mode	kind	code	ms
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	705
a01-128-spread	spread	hit	200	6
a01-128-spread	spread	miss	404	523
a01-128-spread	spread	hit	200	5
a01-128-spread	spread	miss	404	429
a01-128-spread	spread	hit	200	8
a01-128-spread	spread	miss	404	568
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	453
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	578
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	511
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	246
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	543
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	205
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	508
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	481
a01-128-spread	spread	hit	200	4
a01-128-spread	spread	miss	404	208
a01-128-spread	spread	hit	200	5
a01-128-spread	spread	miss	404	590
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	681
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	543
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	417
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	520
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	540
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	504
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	522
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	508
a01-128-spread	spread	hit	200	5
a01-128-spread	spread	miss	404	381
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	590
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	417
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	423
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	770
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	421
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	483
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	539
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	390
a01-128-spread	spread	hit	200	6
a01-128-spread	spread	miss	404	524
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	454
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	541
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	497
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	475
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	617
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	520
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	478
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	350
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	559
a01-128-spread	spread	hit	200	5
a01-128-spread	spread	miss	404	427
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	586
a01-128-spread	spread	hit	200	3
a01-128-spread	spread	miss	404	540
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	566
a01-128-spread	spread	hit	200	2
a01-128-spread	spread	miss	404	575
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	492
a01-128-spread	spread	hit	200	1
a01-128-spread	spread	miss	404	348
a01-128-spread	spread	hit	200	9
