arm	round	gop	index	declaredDurationS	segmentBytes	videoPacketCount	unservedForMs	fetchAttempts
1	1	0.5	278	1.134	191572	15	0	1
1	1	0.5	279	1.134	207928	15	0	1
1	1	0.5	280	0.867	191384	15	0	1
1	1	0.5	281	0.768	182736	15	0	1
1	1	0.5	282	0.766	186120	15	0	1
1	1	0.5	283	0.766	182548	15	0	1
1	1	0.5	284	0.768	180292	15	0	1
1	1	0.5	285	0.934	192324	15	0	1
1	1	0.5	286	1	191384	15	0	1
1	1	0.5	287	0.967	185932	15	0	1
1	1	0.5	289	1	186120	15	0	1
1	1	0.5	290	1.1	196272	15	0	1
1	1	0.5	291	1.134	195144	15	0	1
1	1	0.5	292	1.001	190820	15	0	1
1	1	0.5	293	1.134	198528	15	0	1
1	1	0.5	294	0.834	184804	15	0	1
1	1	0.5	296	1.034	185368	15	0	1
1	1	0.5	297	1.101	193264	15	0	1
1	1	0.5	298	1.134	189128	15	0	1
1	1	0.5	299	0.967	184428	15	0	1
1	1	0.5	300	0.834	185368	15	0	1
1	1	0.5	301	0.834	189692	15	0	1
1	1	0.5	302	0.834	194580	15	0	1
1	1	0.5	303	1.001	198904	15	0	1
1	1	0.5	305	1.034	193640	15	0	1
1	1	0.5	306	0.834	180104	15	0	1
1	1	0.5	307	0.834	183300	15	0	1
1	1	0.5	308	1.1	197588	15	0	1
1	1	0.5	309	1.134	195144	15	0	1
1	1	0.5	310	1.001	189880	15	0	1
1	1	0.5	311	0.834	184992	15	0	1
1	1	0.5	313	0.799	182360	15	0	1
1	1	0.5	314	0.867	193640	15	0	1
1	1	0.5	315	1.034	194768	15	0	1
1	1	0.5	317	1.034	194392	15	0	1
1	1	0.5	319	0.901	186308	15	0	1
1	1	0.5	320	1.034	183676	15	0	1
1	1	0.5	321	1.101	190068	15	0	1
1	1	0.5	322	0.901	188376	15	0	1
1	1	0.5	323	1.034	194392	15	0	1
1	1	0.5	324	0.967	192512	15	0	1
1	1	0.5	325	1	193828	15	0	1
1	1	0.5	327	1.034	192512	15	0	1
1	1	0.5	328	1.068	190820	15	0	1
1	1	0.5	329	1.034	186684	15	0	1
1	1	0.5	330	0.901	183112	15	0	1
1	1	0.5	331	1.034	187248	15	0	1
1	1	0.5	332	1.101	201536	15	0	1
1	1	0.5	333	1.168	200220	15	0	1
1	1	0.5	334	0.901	181796	15	0	1
1	1	0.5	335	1.034	203228	15	0	1
1	1	0.5	336	1.168	197024	15	0	1
1	1	0.5	337	1.001	189316	15	0	1
1	1	0.5	338	0.866	189692	15	0	1
1	1	0.5	339	0.866	176720	15	0	1
1	1	0.5	340	0.868	176532	15	0	1
1	1	0.5	341	1.034	192324	15	0	1
1	1	0.5	342	1.134	194956	15	0	1
1	1	0.5	345	1.034	199656	15	0	1
1	1	0.5	346	1.001	193828	15	0	1
1	1	0.5	348	1.034	192512	15	0	1
1	1	0.5	349	0.8	179916	15	0	1
1	1	0.5	350	1.134	187060	15	0	1
1	1	0.5	351	1.034	193452	15	0	1
1	1	0.5	352	1.001	194204	15	0	1
1	1	0.5	353	1.034	194204	15	0	1
1	1	0.5	354	0.901	194204	15	0	1
1	1	0.5	355	0.834	189128	15	0	1
1	1	0.5	356	1.168	202664	15	0	1
1	1	0.5	357	1.199	197964	15	0	1
1	1	0.5	359	0.834	180480	15	0	1
1	1	0.5	360	0.834	180856	15	0	1
1	1	0.5	362	1.034	192888	15	0	1
1	1	0.5	364	1	195896	15	0	1
1	1	0.5	365	1.001	195708	15	0	1
1	1	0.5	366	1.134	201160	15	0	1
1	1	0.5	368	0.866	192324	15	0	1
1	1	0.5	369	1	185556	15	0	1
1	1	0.5	370	1.134	187812	15	0	1
1	1	0.5	371	0.733	177472	15	0	1
1	1	0.5	372	0.766	181232	15	0	1
1	1	0.5	373	1.068	199844	15	0	1
1	1	0.5	374	0.9	192512	15	0	1
1	1	0.5	375	0.867	192324	15	0	1
1	1	0.5	377	1.001	191948	15	0	1
1	1	0.5	378	1.034	192324	15	0	1
1	1	0.5	379	1.034	189128	15	0	1
1	1	0.5	380	0.934	181420	15	0	1
1	1	0.5	381	0.866	179728	15	0	1
1	1	0.5	382	1.034	190632	15	0	1
1	1	0.5	383	0.867	190256	15	0	1
1	1	0.5	384	0.968	199468	15	0	1
1	1	0.5	385	1.067	196460	15	0	1
1	1	0.5	387	0.833	191948	15	0	1
1	1	0.5	388	1	189128	15	0	1
1	1	0.5	389	0.834	184428	15	0	1
1	1	0.5	391	1.034	188940	15	0	1
1	1	0.5	392	0.834	171832	15	0	1
1	1	0.5	394	0.9	186496	15	0	1
1	1	0.5	395	0.768	189316	15	0	1
1	1	0.5	396	0.766	185744	15	0	1
1	1	0.5	400	0.867	187060	15	0	1
1	1	0.5	401	1.033	189128	15	0	1
1	1	0.5	402	1.067	189316	15	0	1
1	1	0.5	403	0.766	171456	15	0	1
