arm	mode	kind	code	ms
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	525
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	322
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	452
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	522
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	482
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	418
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	449
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	452
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	409
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	527
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	461
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	556
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	658
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	540
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	483
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	510
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	444
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	549
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	492
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	474
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	461
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	430
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	389
a02-8-spread	spread	hit	200	3
a02-8-spread	spread	miss	404	378
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	391
a02-8-spread	spread	hit	200	2
a02-8-spread	spread	miss	404	429
a02-8-spread	spread	hit	200	1
a02-8-spread	spread	miss	404	486
a02-8-spread	spread	hit	200	1
